Longevity data downloaded from FMP by Suheeta Roy on 3 Feb 2023,,,,,,,,,,,,
Aging BXD colony @ UTHSC on two diets- chow and high fat,,,,,,,,,,,,
Animals with age at death >200 days are considered for longevity analysis,,,,,,,,,,,,
,,,,,,,,,,,,
Index,EarTagNumberCurrent,EarTagNumberOriginal,StrainName,Sex,Diet,AgeAtDeath (days),CauseOfDeath,DateOfBirth,DateDietStart,DateOfDeath,AgeAtSettingUp (days),
1,1332,1332,BXD13,F,CD,204,Natural,9/8/13,11/15/13,3/31/14,68,
2,2110,2110,BXD66,F,CD,215,Euthanized,8/8/14,2/6/15,3/11/15,182,
3,581,581,BXD69,F,CD,222,Natural,12/23/11,7/20/12,8/1/12,210,
4,2447,2447,BXD8,F,CD,224,Natural,9/20/15,11/6/15,5/1/16,47,
5,2815,2815,BXD1,F,CD,228,Natural,4/2/18,7/12/18,11/16/18,101,
6,2763,2763,BXD172,F,CD,229,Natural,1/7/18,2/23/18,8/24/18,47,
7,3208,3208,BXD172,F,CD,233,Natural,5/26/20,9/23/20,1/14/21,120,
8,896,896,BXD88,F,CD,234,Natural,1/21/12,7/20/12,9/11/12,181,
9,2268,2268,BXD79,F,CD,241,Euthanized,3/28/15,8/5/15,11/24/15,130,
10,100,100,BXD12,F,CD,244,Natural,8/13/11,2/13/12,4/13/12,184,
11,314,314,BXD60,F,CD,251,Natural,11/18/11,2/13/12,7/26/12,87,
12,109,109,BXD63,F,CD,257,Natural,3/6/11,10/31/11,11/18/11,239,
13,280,280,BXD56,F,CD,257,Natural,10/2/11,2/13/12,6/15/12,134,
14,1685,1685,BXD79,F,CD,259,Euthanized,4/30/14,7/25/14,1/14/15,86,
15,3698,3698,BXD2,F,CD,267,Euthanized,5/29/21,10/14/21,2/20/22,138,
16,681,681,BXD40,F,CD,267,Natural,11/19/11,7/20/12,8/12/12,244,
17,2270,2270,BXD79,F,CD,267,Natural,4/1/15,8/5/15,12/24/15,126,
18,580,580,BXD69,F,CD,274,Euthanized,12/23/11,7/20/12,9/22/12,210,
19,1549,1549,BXD79,F,CD,274,Natural,1/18/14,4/11/14,10/19/14,83,
20,113,113,BXD65,F,CD,275,Natural,2/12/11,10/31/11,11/14/11,261,
21,1550,1550,BXD79,F,CD,275,Natural,1/18/14,4/11/14,10/20/14,83,
22,2109,2109,BXD66,F,CD,278,Euthanized,8/8/14,2/6/15,5/13/15,182,
23,738,738,BXD90,F,CD,279,Natural,11/28/11,7/20/12,9/2/12,235,
24,2765,2765,BXD172,F,CD,283,Natural,1/7/18,2/23/18,10/17/18,47,
25,2365,2365,BXD172,F,CD,285,Euthanized,7/31/15,11/3/15,5/11/16,95,
26,1475,1475,BXD39,F,CD,285,Natural,12/30/13,4/11/14,10/11/14,102,
27,2903,2903,BXD22,F,CD,285,Natural,8/10/18,11/19/18,5/22/19,101,
28,1934,1734,BXD79,F,CD,288,Euthanized,5/27/14,7/25/14,3/11/15,59,
29,2803,2803,BXD14,F,CD,288,Natural,3/21/18,6/14/18,1/3/19,85,
30,2267,2267,BXD79,F,CD,293,Natural,3/28/15,8/5/15,1/15/16,130,
31,2451,2451,BXD86,F,CD,294,Natural,10/16/15,1/14/16,8/5/16,90,
32,715,715,BXD48a,F,CD,303,Natural,3/25/12,7/20/12,1/22/13,117,
33,2368,2368,BXD171,F,CD,307,Natural,8/4/15,11/3/15,6/6/16,91,
34,1852,1852,BXD69,F,CD,308,Euthanized,7/9/14,10/22/14,5/13/15,105,
35,2670,2670,BXD170,F,CD,308,Natural,11/30/16,2/24/17,10/4/17,86,
36,3700,3700,BXD2,F,CD,314,Euthanized,5/29/21,10/14/21,4/8/22,138,
37,2858,2858,BXD181,F,CD,316,Euthanized,4/5/18,8/13/18,2/15/19,130,
38,2565,2565,BXD6,F,CD,318,Euthanized,1/10/16,2/12/16,11/23/16,33,
39,310,310,BXD55,F,CD,320,Natural,10/20/11,2/13/12,9/4/12,116,
40,2203,2203,BXD199,F,CD,322,Natural,6/11/15,8/5/15,4/28/16,55,
41,2172,2172,BXD24,F,CD,323,Natural,1/13/15,3/13/15,12/2/15,59,
42,2652,2652,DBA/2J,F,CD,323,Natural,4/8/16,12/13/16,2/25/17,249,
43,2444,2444,BXD8,F,CD,324,Natural,9/9/15,11/6/15,7/29/16,58,
44,2120,2120,BXD79,F,CD,325,Natural,10/23/14,2/6/15,9/13/15,106,
45,1559,1559,BXD66,F,CD,327,Natural,1/21/14,4/11/14,12/14/14,80,
46,2272,2272,BXD79,F,CD,330,Natural,4/1/15,8/5/15,2/25/16,126,
47,2898,2898,DBA/2J,F,CD,332,Natural,12/15/18,3/14/19,11/12/19,89,
48,3696,3696,BXD2,F,CD,336,Euthanized,3/16/21,10/14/21,2/15/22,212,
49,3697,3697,BXD2,F,CD,336,Euthanized,3/16/21,10/14/21,2/15/22,212,
50,4502,4502,BXD2,F,CD,336,Euthanized,3/16/21,10/14/21,2/15/22,212,
51,1010,1010,BXD9,F,CD,337,Natural,1/2/13,8/8/13,12/5/13,218,
52,2184,2184,DBA/2J,F,CD,338,Euthanized,11/16/14,3/13/15,10/20/15,117,
53,2421,2421,BXD16,F,CD,340,Natural,8/13/15,11/6/15,7/18/16,85,
54,2325,2325,BXD170,F,CD,342,Natural,6/30/15,11/3/15,6/6/16,126,
55,754,754,BXD32,F,CD,345,Natural,1/14/12,7/20/12,12/24/12,188,
56,48,48,BXD89,F,CD,348,Natural,5/1/11,2/13/12,4/13/12,288,
